question,expected_answer,relevant_documents,relevant_pages,ground_truth_passage
What is the maximum drift speed an Argo float is expected to have?,Three metres per second. A higher speed means the position or the time is bad.,argo_quality_control_manual.pdf,12,"In all cases we would not expect the drift speed to exceed 3 ms-1. If it does, it means either the positions or times are bad data, or a float is mislabeled."
Which quality control test checks that a float's date is possible?,"Test 2, the impossible date test. It requires the observation date to be at or after 1 January 1997 and before the current UTC date.",argo_quality_control_manual.pdf,11,"Test 2. Impossible date test. If JULD = number of days elapsed since 1st January 1950, then this test checks that 17167 <= JULD < UTC date of check."
What does the platform identification test check?,That the float's ptt matches the WMO ID number recorded in its metadata file.,argo_quality_control_manual.pdf,11,Test 1. Platform identification test. Every data centre handling float data and posting them on the GTS will need to prepare a metadata file for each float and in this is the WMO ID number that corresponds to each float ptt.
When was the gradient test declared obsolete?,"In October 2019, at ADMT20.",argo_quality_control_manual.pdf,14,Test 11. Gradient test: declared obsolete in October 2019 at ADMT20.
When was the top and bottom spike test declared obsolete?,"In October 2003, at ADMT4.",argo_quality_control_manual.pdf,14,Test 10. Top and bottom spike test: declared obsolete in October 2003 at ADMT4.
How is the gradient test value calculated?,As the absolute value of V2 minus the mean of the values above and below it.,argo_quality_control_manual.pdf,14,"Test value = | V2 - (V3 + V1)/2 | where V2 is the measurement being tested, and V1 and V3 are the values above and below."
What density difference is tolerated before a density inversion is flagged?,A threshold of 0.03 kg per cubic metre is allowed for small inversions.,argo_quality_control_manual.pdf,15,A threshold of 0.03 kg m-3 should be allowed for small density inversions.
What does the pressure increasing test look for?,"Pressure values that do not increase monotonically down the profile, beyond a plausible reversal threshold.",argo_quality_control_manual.pdf,13,Test 8. Pressure increasing test. This test checks PRES data sanity based on expected float behavior. From deep to shallow a measurement PRES fails the test if the pressure value V1 is the same or larger than any previous value Vpre plus a plausible pressure reversal threshold.
What is the global range test for?,"It applies a gross filter to the observed values of pressure, temperature and salinity.",argo_quality_control_manual.pdf,12,"Test 6. Global range test. This test applies a gross filter on the observed values of pressure (PRES), temperature (TEMP) and salinity (PSAL)."
In what order are the real-time quality control tests applied to a profile?,In the order set out in the test application order table.,argo_quality_control_manual.pdf,19,2.1.3. Tests application order on vertical profiles. The Argo real-time QC tests on vertical profiles are applied in the order described in the following table.
What are the general rules for applying a quality control flag?,They are set out in the quality control flag application policy.,argo_quality_control_manual.pdf,20,2.1.4. Quality control flag application policy. The following are some general rules on how to apply QC flags.
